uid,floor,node,rating,ch1,ch2,ch3,ch4
f14d24e362b911ef83eb28c2dd2980ba,7,1,A,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,7,2,A,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,6,1,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,6,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,5,1,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,5,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,4,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,4,2,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,3,1,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,3,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,2,1,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,2,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d24e362b911ef83eb28c2dd2980ba,1,1,S,Ellen,Anby,Soukaku,Sharkboo
f14d24e362b911ef83eb28c2dd2980ba,1,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,7,1,A,Soldier 11,Koleda,Lucy,Rocketboo
f14d4bf662b911efa84928c2dd2980ba,7,2,A,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,6,1,S,Soldier 11,Koleda,Lucy,Rocketboo
f14d4bf662b911efa84928c2dd2980ba,6,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,5,1,S,Soldier 11,Koleda,Lucy,Rocketboo
f14d4bf662b911efa84928c2dd2980ba,5,2,S,Zhu Yuan,Anby,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,4,1,S,Soldier 11,Koleda,Lucy,Rocketboo
f14d4bf662b911efa84928c2dd2980ba,4,2,S,Zhu Yuan,Anby,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,3,1,S,Zhu Yuan,Anby,Nicole,Resonaboo
f14d4bf662b911efa84928c2dd2980ba,3,2,S,Soldier 11,Koleda,Lucy,Rocketboo
