uid,floor,star,score,boss,buff,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo,rank_percent
1000000,1,3,30292,Notorious - Marionette,Aberration,Astra Yao,0,Miyabi,2,Yanagi,0,Agent Gulliver,38.63%
1000000,2,1,13009,??? the Thrall,Sever Pulse,Yixuan,0,Lucia,0,Ju Fufu,0,Belion,38.63%
1000000,3,3,22027,Miasmic Fiend - Unfathomable,Aberration,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,38.63%
1000001,1,3,20739,Notorious - Marionette,Sever Pulse,Lighter,0,Seed,0,Orphie & Magus,0,Mercury,32.37%
1000001,2,3,21537,??? the Thrall,Sever Pulse,Lucia,0,Yixuan,0,Ju Fufu,0,Belion,32.37%
1000001,3,3,20385,Miasmic Fiend - Unfathomable,Aberration,Yuzuha,0,Miyabi,1,Yanagi,0,Agent Gulliver,32.37%
1000002,1,3,30372,Notorious - Marionette,Sever Pulse,Ju Fufu,0,Lucia,2,Manato,6,Miss Esme,5.59%
1000002,2,3,36383,??? the Thrall,Sever Pulse,Astra Yao,0,Evelyn,0,Lighter,6,Snap,5.59%
1000002,3,3,28753,Miasmic Fiend - Unfathomable,Aberration,Vivian,0,Yuzuha,0,Jane,0,Officer Cui,5.59%
1000003,1,3,21834,Notorious - Marionette,Aberration,Miyabi,0,Trigger,0,Astra Yao,0,Snap,50.93%
1000003,3,3,28581,Miasmic Fiend - Unfathomable,Sever Pulse,Yixuan,0,Dialyn,0,Lucia,0,Belion,50.93%
1000004,1,3,29881,Notorious - Marionette,Aberration,Miyabi,2,Lycaon,4,Soukaku,6,Sharkboo,6.43%
1000004,2,3,36917,??? the Thrall,Meditation,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,6.43%
1000004,3,3,25551,Miasmic Fiend - Unfathomable,Aberration,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,6.43%
1000005,1,3,27494,Notorious - Marionette,Aberration,Miyabi,1,Yuzuha,0,Soukaku,6,Sharkboo,31.91%
1000005,2,3,22055,??? the Thrall,Sever Pulse,Yixuan,0,Pan Yinhu,6,Dialyn,0,Birkblick,31.91%
1000005,3,1,13461,Miasmic Fiend - Unfathomable,Aberration,Jane,1,Seth,6,Astra Yao,0,Bangvolver,31.91%
1000006,1,3,35685,Notorious - Marionette,Meditation,Yuzuha,0,Miyabi,3,Vivian,0,Penguinboo,6.55%
1000006,2,3,35176,??? the Thrall,Meditation,Yidhari,0,Dialyn,0,Lucia,0,Sharkboo,6.55%
1000006,3,3,21102,Miasmic Fiend - Unfathomable,Meditation,Astra Yao,0,Yixuan,0,Ju Fufu,0,Belion,6.55%
1000007,1,3,41164,Notorious - Marionette,Sever Pulse,Ellen,0,Dialyn,0,Astra Yao,0,Snap,13.03%
1000007,2,3,27709,??? the Thrall,Sever Pulse,Soldier 0 - Anby,0,Trigger,1,Orphie & Magus,1,Mercury,13.03%
1000007,3,1,11114,Miasmic Fiend - Unfathomable,Aberration,Jane,0,Burnice,0,Yuzuha,0,Luckyboo,13.03%
1000008,1,3,39165,Notorious - Marionette,Meditation,Yixuan,1,Ju Fufu,0,Trigger,0,Belion,15.6%
1000008,2,3,22879,??? the Thrall,Meditation,Yidhari,0,Lucia,0,Lycaon,0,Sharkboo,15.6%
1000008,3,3,22411,Miasmic Fiend - Unfathomable,Aberration,Miyabi,0,Yuzuha,0,Yanagi,0,Snap,15.6%
1000009,1,3,42652,Notorious - Marionette,Aberration,Miyabi,2,Nicole,6,Astra Yao,0,Resonaboo,1.63%
