uid,floor,node,rating,ch1,ch2,ch3,ch4
ab0c888181d011ef8e3e8878734f76cf,6,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,6,2,S,Jane,Seth,Lucy,Amillion
ab0c888181d011ef8e3e8878734f76cf,5,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,5,2,S,Jane,Seth,Lucy,Amillion
ab0c888181d011ef8e3e8878734f76cf,4,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,4,2,S,Jane,Seth,Lucy,Amillion
ab0c888181d011ef8e3e8878734f76cf,3,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,3,2,S,Jane,Seth,Lucy,Amillion
ab0c888181d011ef8e3e8878734f76cf,2,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,2,2,S,Jane,Seth,Lucy,Amillion
ab0c888181d011ef8e3e8878734f76cf,1,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888181d011ef8e3e8878734f76cf,1,2,S,Jane,Seth,Lucy,Amillion
ab0c888281d011ef954e8878734f76cf,4,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888281d011ef954e8878734f76cf,4,2,S,Soldier 11,Koleda,Lucy,Rocketboo
ab0c888281d011ef954e8878734f76cf,3,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888281d011ef954e8878734f76cf,3,2,S,Soldier 11,Koleda,Lucy,Rocketboo
ab0c888281d011ef954e8878734f76cf,2,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888281d011ef954e8878734f76cf,2,2,S,Soldier 11,Koleda,Lucy,Rocketboo
ab0c888281d011ef954e8878734f76cf,1,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
ab0c888281d011ef954e8878734f76cf,1,2,S,Soldier 11,Koleda,Lucy,Rocketboo
ab0c888381d011efb5f38878734f76cf,7,1,B,Ellen,Koleda,Soukaku,Sharkboo
