uid,floor,node,rating,time,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo
c8440fecccfd11ef867c8878734f76cf,7,1,S,75,Miyabi,0,Soukaku,6.0,,Sharkboo,
c8440fecccfd11ef867c8878734f76cf,7,2,S,170,Zhu Yuan,0,Qingyi,0.0,Nicole,5,Resonaboo
c8440fecccfd11ef867c8878734f76cf,6,1,S,104,Miyabi,0,Soukaku,6.0,,Sharkboo,
c8440fecccfd11ef867c8878734f76cf,6,2,S,146,Jane,0,Seth,2.0,Lucy,4,Amillion
c8440fecccfd11ef867c8878734f76cf,5,1,S,95,Miyabi,0,Soukaku,6.0,,Sharkboo,
c8440fecccfd11ef867c8878734f76cf,5,2,S,167,Jane,0,Seth,2.0,Lucy,4,Amillion
c8440fecccfd11ef867c8878734f76cf,4,1,S,53,Miyabi,0,Soukaku,6.0,,Sharkboo,
c8440fecccfd11ef867c8878734f76cf,4,2,S,141,Jane,0,Seth,2.0,Lucy,4,Amillion
c8440fedccfd11ef82f58878734f76cf,7,1,S,68,Nicole,6,Soukaku,6.0,Miyabi,1,Agent Gulliver
c8440fedccfd11ef82f58878734f76cf,7,2,S,100,Burnice,0,Lucy,6.0,Yanagi,0,Red Moccus
c8440fedccfd11ef82f58878734f76cf,6,1,S,87,Nicole,6,Yanagi,0.0,Miyabi,1,Agent Gulliver
c8440fedccfd11ef82f58878734f76cf,6,2,S,108,Burnice,0,Lucy,6.0,Jane,0,Red Moccus
c8440fedccfd11ef82f58878734f76cf,5,1,S,63,Nicole,6,Yanagi,0.0,Miyabi,1,Agent Gulliver
c8440fedccfd11ef82f58878734f76cf,5,2,S,126,Burnice,0,Lucy,6.0,Jane,0,Red Moccus
c8440fedccfd11ef82f58878734f76cf,4,1,S,65,Nicole,6,Jane,0.0,Miyabi,1,Agent Gulliver
c8440fedccfd11ef82f58878734f76cf,4,2,S,78,Burnice,0,Lucy,6.0,Yanagi,0,Red Moccus
c8440feeccfd11efbec68878734f76cf,7,1,S,54,Miyabi,0,Lycaon,1.0,Soukaku,6,Agent Gulliver
c8440feeccfd11efbec68878734f76cf,7,2,S,99,Yanagi,0,Caesar,0.0,Rina,0,Electroboo
c8440feeccfd11efbec68878734f76cf,6,1,S,144,Ellen,0,Lycaon,1.0,Caesar,0,Sharkboo
c8440feeccfd11efbec68878734f76cf,6,2,S,95,Miyabi,0,Rina,0.0,Yanagi,0,Agent Gulliver
c8440feeccfd11efbec68878734f76cf,5,1,S,121,Ellen,0,Lycaon,1.0,Caesar,0,Sharkboo
c8440feeccfd11efbec68878734f76cf,5,2,S,104,Miyabi,0,Rina,0.0,Yanagi,0,Agent Gulliver
c8440feeccfd11efbec68878734f76cf,4,1,S,45,Miyabi,0,Lycaon,1.0,Soukaku,6,Sharkboo
c8440feeccfd11efbec68878734f76cf,4,2,S,92,Yanagi,0,Caesar,0.0,Rina,0,Electroboo
c8440fefccfd11efaae48878734f76cf,7,1,S,118,Ellen,2,Qingyi,0.0,Soukaku,6,Sharkboo
c8440fefccfd11efaae48878734f76cf,7,2,S,92,Miyabi,0,Yanagi,0.0,Caesar,0,Agent Gulliver
c8440fefccfd11efaae48878734f76cf,6,1,S,104,Miyabi,0,Yanagi,0.0,Soukaku,6,Agent Gulliver
c8440fefccfd11efaae48878734f76cf,6,2,S,118,Jane,0,Caesar,0.0,Lucy,6,Red Moccus
c8440fefccfd11efaae48878734f76cf,5,1,S,112,Miyabi,0,Yanagi,0.0,Soukaku,6,Sharkboo
c8440fefccfd11efaae48878734f76cf,5,2,S,114,Jane,0,Caesar,0.0,Lucy,6,Red Moccus
c8440fefccfd11efaae48878734f76cf,4,1,S,66,Jane,0,Caesar,0.0,Lucy,6,Red Moccus
c8440fefccfd11efaae48878734f76cf,4,2,S,73,Miyabi,0,Yanagi,0.0,Soukaku,6,Sharkboo
c8440ff0ccfd11ef86368878734f76cf,7,1,S,90,Zhu Yuan,0,Qingyi,0.0,Nicole,6,Resonaboo
c8440ff0ccfd11ef86368878734f76cf,7,2,S,65,Miyabi,1,Yanagi,0.0,Soukaku,6,Sharkboo
