uid,floor,star,score,boss,buff,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo,rank_percent
1000000,1,3,41501,Primordial Nightmare,Focus Energy,Astra Yao,0,Ye Shunguang,2,Zhao,0,Sprout,22.22%
1000000,2,3,22209,Miasmic Fiend - Unfathomable,Dream Delusion,Alice,0,Yuzuha,0,Vivian,0,Miss Esme,22.22%
1000000,3,2,19022,Wandering Hunter,Sonata,Yixuan,0,Lucia,0,Ju Fufu,0,Robin,22.22%
1000001,1,3,20236,Primordial Nightmare,Focus Energy,Orphie & Magus,0,Seed,0,Dialyn,0,Mercury,28.02%
1000001,2,3,21310,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Miyabi,1,Vivian,0,Robin,28.02%
1000001,3,3,26134,Wandering Hunter,Sonata,Lucia,0,Yixuan,0,Ju Fufu,0,Belion,28.02%
1000003,1,3,23286,Primordial Nightmare,Sonata,Astra Yao,0,Lighter,6,Evelyn,0,Snap,4.05%
1000003,2,3,30081,Miasmic Fiend - Unfathomable,Dream Delusion,Vivian,0,Yuzuha,0,Jane,0,Robin,4.05%
1000003,3,3,54019,Wandering Hunter,Sonata,Lucia,2,Banyue,1,Dialyn,1,Birkblick,4.05%
1000004,1,3,32552,Primordial Nightmare,Focus Energy,Ye Shunguang,0,Dialyn,0,Zhao,0,Sprout,20.58%
1000004,2,2,17090,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Nicole,6,Astra Yao,0,Devilboo,20.58%
1000004,3,3,25047,Wandering Hunter,Sonata,Yixuan,0,Pulchra,6,Lucia,0,Belion,20.58%
1000005,1,3,41206,Primordial Nightmare,Focus Energy,Ye Shunguang,0,Dialyn,0,Zhao,0,Sprout,4.84%
1000005,2,3,24708,Miasmic Fiend - Unfathomable,Dream Delusion,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,4.84%
