uid,floor,node,rating,time,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo
d270ef2d468911f0ba098878734f76cf,7,1,S,125,Astra Yao,0,Jane,0.0,Vivian,0.0,Resonaboo
d270ef2d468911f0ba098878734f76cf,7,2,S,151,Miyabi,0,Soukaku,6.0,Nicole,6.0,Agent Gulliver
d270ef2d468911f0ba098878734f76cf,6,1,S,131,Astra Yao,0,Miyabi,0.0,Soukaku,6.0,Agent Gulliver
d270ef2d468911f0ba098878734f76cf,6,2,S,167,Zhu Yuan,0,Qingyi,0.0,Nicole,6.0,Resonaboo
d26d97b9468911f09f548878734f76cf,7,1,S,97,Trigger,0,Yixuan,0.0,Pan Yinhu,0.0,Belion
d26d97b9468911f09f548878734f76cf,7,2,S,85,Astra Yao,0,Nicole,6.0,Miyabi,2.0,Resonaboo
d26d97b9468911f09f548878734f76cf,6,1,S,88,Astra Yao,0,Nicole,6.0,Miyabi,2.0,Resonaboo
d26d97b9468911f09f548878734f76cf,6,2,S,102,Trigger,0,Yixuan,0.0,Pan Yinhu,0.0,Belion
d270efad468911f0bd388878734f76cf,7,1,A,210,Yixuan,0,Pan Yinhu,4.0,Caesar,0.0,Bangvolver
d270efad468911f0bd388878734f76cf,7,2,A,132,Miyabi,0,Trigger,0.0,Yanagi,0.0,Agent Gulliver
d270efad468911f0bd388878734f76cf,6,1,A,171,Miyabi,0,Rina,1.0,Yanagi,0.0,Agent Gulliver
d270efad468911f0bd388878734f76cf,6,2,A,223,Ellen,0,Trigger,0.0,Caesar,0.0,Sharkboo
d270efe9468911f0ad0a8878734f76cf,7,1,A,200,Evelyn,0,Trigger,0.0,Astra Yao,0.0,Snap
d270efe9468911f0ad0a8878734f76cf,7,2,A,169,Miyabi,1,Caesar,0.0,Yanagi,0.0,Agent Gulliver
d270efe9468911f0ad0a8878734f76cf,6,1,S,165,Ellen,2,Trigger,0.0,Astra Yao,0.0,Sharkboo
d270efe9468911f0ad0a8878734f76cf,6,2,S,130,Miyabi,1,Rina,1.0,Yanagi,0.0,Agent Gulliver
d270f015468911f0b1668878734f76cf,7,1,S,75,Yixuan,1,Trigger,0.0,Astra Yao,0.0,Resonaboo
d270f015468911f0b1668878734f76cf,7,2,S,89,Miyabi,2,Lycaon,4.0,Soukaku,6.0,Sharkboo
d270f015468911f0b1668878734f76cf,6,1,S,120,Miyabi,2,Rina,1.0,Soukaku,6.0,Sharkboo
d270f015468911f0b1668878734f76cf,6,2,S,93,Yixuan,0,Trigger,0.0,Astra Yao,0.0,Resonaboo
d26d9903468911f0b5828878734f76cf,7,1,S,155,Harumasa,2,Qingyi,1.0,Rina,1.0,Plugboo
d26d9903468911f0b5828878734f76cf,7,2,S,82,Hugo,2,Lycaon,1.0,Lighter,1.0,Robin
d26d9903468911f0b5828878734f76cf,6,1,S,182,Harumasa,2,Qingyi,1.0,Rina,1.0,Plugboo
d26d9903468911f0b5828878734f76cf,6,2,S,50,Hugo,2,Lycaon,1.0,Lighter,1.0,Robin
d270f03b468911f0ba8c8878734f76cf,7,1,S,85,Yixuan,0,Pan Yinhu,2.0,Astra Yao,0.0,Snap
d270f03b468911f0ba8c8878734f76cf,7,2,S,77,Miyabi,1,Vivian,0.0,Nicole,6.0,Robin
d270f03b468911f0ba8c8878734f76cf,6,1,S,127,Yixuan,0,Pan Yinhu,1.0,Astra Yao,0.0,Snap
d270f03b468911f0ba8c8878734f76cf,6,2,S,74,Miyabi,1,Vivian,0.0,Nicole,6.0,Robin
d270f061468911f0baf18878734f76cf,7,1,S,116,Astra Yao,1,Pan Yinhu,0.0,Yixuan,0.0,Belion
d270f061468911f0baf18878734f76cf,7,2,S,170,Miyabi,0,Vivian,0.0,Lycaon,3.0,Robin
d270f061468911f0baf18878734f76cf,6,1,S,103,Astra Yao,1,Pan Yinhu,0.0,Yixuan,0.0,Belion
d270f061468911f0baf18878734f76cf,6,2,S,110,Miyabi,0,Vivian,0.0,Lycaon,3.0,Robin
d270f084468911f0ad1c8878734f76cf,7,1,S,148,Miyabi,0,Vivian,0.0,Nicole,6.0,Resonaboo
d270f084468911f0ad1c8878734f76cf,7,2,S,106,Ellen,0,Lighter,0.0,Astra Yao,0.0,Sharkboo
d270f084468911f0ad1c8878734f76cf,6,1,S,68,Miyabi,0,Vivian,0.0,Astra Yao,0.0,Sharkboo
d270f084468911f0ad1c8878734f76cf,6,2,S,106,Zhu Yuan,0,Qingyi,0.0,Nicole,6.0,Resonaboo
d270f0a8468911f091458878734f76cf,7,1,S,172,Yixuan,0,Pan Yinhu,3.0,Pulchra,6.0,Belion
d270f0a8468911f091458878734f76cf,7,2,S,82,Astra Yao,0,Miyabi,1.0,Nicole,6.0,Resonaboo
d270f0a8468911f091458878734f76cf,6,1,S,106,Astra Yao,0,Miyabi,1.0,Nicole,6.0,Resonaboo
d270f0a8468911f091458878734f76cf,6,2,S,162,Yixuan,0,Pan Yinhu,3.0,Pulchra,6.0,Belion
d270f0cc468911f0bfa58878734f76cf,7,1,S,158,Evelyn,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f0cc468911f0bfa58878734f76cf,7,2,S,127,Miyabi,0,Burnice,0.0,Lucy,6.0,Brawlerboo
d270f0cc468911f0bfa58878734f76cf,6,1,S,159,Evelyn,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f0cc468911f0bfa58878734f76cf,6,2,S,116,Miyabi,0,Burnice,0.0,Lucy,6.0,Red Moccus
d270f0f5468911f09d878878734f76cf,7,1,S,60,Astra Yao,1,Yixuan,0.0,Caesar,1.0,Belion
d270f0f5468911f09d878878734f76cf,7,2,S,78,Miyabi,2,Vivian,0.0,Nicole,6.0,Snap
d270f0f5468911f09d878878734f76cf,6,1,S,102,Miyabi,2,Vivian,0.0,Nicole,6.0,Snap
d270f0f5468911f09d878878734f76cf,6,2,S,83,Astra Yao,1,Yixuan,0.0,Caesar,1.0,Belion
d270f119468911f087928878734f76cf,7,1,S,115,Astra Yao,0,Yixuan,0.0,Koleda,1.0,Belion
d270f119468911f087928878734f76cf,7,2,S,121,Miyabi,0,Lycaon,1.0,Soukaku,6.0,Sharkboo
d270f119468911f087928878734f76cf,6,1,S,132,Astra Yao,0,Yixuan,0.0,Koleda,1.0,Belion
d270f119468911f087928878734f76cf,6,2,S,113,Miyabi,0,Lycaon,1.0,Soukaku,6.0,Sharkboo
d270f140468911f0be3c8878734f76cf,7,1,S,160,Jane,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f140468911f0be3c8878734f76cf,7,2,S,114,Miyabi,0,Burnice,0.0,Lucy,6.0,Rocketboo
d270f140468911f0be3c8878734f76cf,6,1,S,141,Miyabi,0,Burnice,0.0,Lucy,6.0,Rocketboo
d270f140468911f0be3c8878734f76cf,6,2,S,128,Jane,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f165468911f092478878734f76cf,7,1,S,95,Astra Yao,0,Pan Yinhu,6.0,Yixuan,0.0,Belion
d270f165468911f092478878734f76cf,7,2,S,113,Miyabi,0,Rina,2.0,Yanagi,0.0,Agent Gulliver
d270f165468911f092478878734f76cf,6,1,S,140,Astra Yao,0,Pan Yinhu,6.0,Yixuan,0.0,Belion
d270f165468911f092478878734f76cf,6,2,S,114,Miyabi,0,Rina,2.0,Yanagi,0.0,Agent Gulliver
d270f18a468911f093f78878734f76cf,7,1,S,131,Yixuan,0,Pan Yinhu,1.0,Koleda,2.0,Belion
d270f18a468911f093f78878734f76cf,7,2,S,77,Astra Yao,0,Miyabi,0.0,Vivian,0.0,Robin
d270f18a468911f093f78878734f76cf,6,1,S,180,Yixuan,0,Pan Yinhu,1.0,Koleda,2.0,Belion
d270f18a468911f093f78878734f76cf,6,2,S,96,Astra Yao,0,Miyabi,0.0,Vivian,0.0,Robin
d270f1d4468911f088ee8878734f76cf,7,1,S,76,Yixuan,0,Pan Yinhu,6.0,Trigger,0.0,Belion
d270f1d4468911f088ee8878734f76cf,7,2,S,56,Miyabi,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f1d4468911f088ee8878734f76cf,6,1,S,58,Miyabi,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f1d4468911f088ee8878734f76cf,6,2,S,70,Yixuan,0,Pan Yinhu,6.0,Trigger,0.0,Belion
d270f1f8468911f0b7d38878734f76cf,7,1,S,83,Astra Yao,1,Yixuan,0.0,Nicole,6.0,Resonaboo
d270f1f8468911f0b7d38878734f76cf,7,2,S,107,Miyabi,0,Vivian,0.0,Soukaku,6.0,Robin
d270f1f8468911f0b7d38878734f76cf,6,1,S,95,Miyabi,0,Vivian,0.0,Soukaku,6.0,Robin
d270f1f8468911f0b7d38878734f76cf,6,2,S,64,Astra Yao,1,Yixuan,0.0,Nicole,6.0,Resonaboo
d270f21c468911f08e698878734f76cf,7,1,S,121,Yixuan,0,Pan Yinhu,4.0,Astra Yao,0.0,Belion
d270f21c468911f08e698878734f76cf,7,2,S,146,Miyabi,0,Qingyi,0.0,Nicole,6.0,Butler
d270f21c468911f08e698878734f76cf,6,1,S,159,Miyabi,0,Lycaon,2.0,Nicole,6.0,Butler
d270f21c468911f08e698878734f76cf,6,2,S,116,Yixuan,0,Pan Yinhu,4.0,Astra Yao,0.0,Belion
d270f240468911f0b38a8878734f76cf,7,1,S,119,Yixuan,1,Pan Yinhu,3.0,Pulchra,6.0,Belion
d270f240468911f0b38a8878734f76cf,7,2,S,92,Miyabi,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f240468911f0b38a8878734f76cf,6,1,S,142,Yixuan,1,Pan Yinhu,3.0,Pulchra,6.0,Belion
d270f240468911f0b38a8878734f76cf,6,2,S,75,Miyabi,0,Vivian,0.0,Astra Yao,0.0,Robin
d270f28b468911f084398878734f76cf,7,1,S,110,Yixuan,0,Vivian,0.0,Astra Yao,0.0,Resonaboo
d270f28b468911f084398878734f76cf,7,2,S,127,Miyabi,1,Yanagi,0.0,Caesar,0.0,Agent Gulliver
d270f28b468911f084398878734f76cf,6,1,S,94,Miyabi,1,Yanagi,0.0,Astra Yao,0.0,Agent Gulliver
d270f28b468911f084398878734f76cf,6,2,S,134,Ellen,0,Lycaon,0.0,Soukaku,6.0,Sharkboo
d270f2af468911f082808878734f76cf,7,1,S,109,Yixuan,0,Pulchra,6.0,Astra Yao,1.0,Belion
d270f2af468911f082808878734f76cf,7,2,S,120,Miyabi,0,Yanagi,0.0,Nicole,6.0,Agent Gulliver
d270f2af468911f082808878734f76cf,6,1,S,111,Yixuan,0,Pulchra,6.0,Astra Yao,1.0,Belion
d270f2af468911f082808878734f76cf,6,2,S,103,Miyabi,0,Yanagi,0.0,Nicole,6.0,Agent Gulliver
d270f2d3468911f099c28878734f76cf,7,1,S,148,Astra Yao,0,Evelyn,0.0,Lighter,0.0,Rocketboo
