uid,floor,node,rating,ch1,ch2,ch3,ch4
b57b8fc84e3d11efa4cb28c2dd2980ba,4,1,B,Ellen,Lucy,Soukaku,Sharkboo
b57b8fc84e3d11efa4cb28c2dd2980ba,4,2,B,Zhu Yuan,Anby,Nicole,Amillion
b57b8fc84e3d11efa4cb28c2dd2980ba,3,1,B,Zhu Yuan,Anby,Nicole,Amillion
b57b8fc84e3d11efa4cb28c2dd2980ba,3,2,B,Ellen,Lucy,Soukaku,Sharkboo
b57b8fc84e3d11efa4cb28c2dd2980ba,2,1,S,Zhu Yuan,Anby,Nicole,Amillion
b57b8fc84e3d11efa4cb28c2dd2980ba,2,2,S,Ellen,Lucy,Soukaku,Sharkboo
b57b8fc84e3d11efa4cb28c2dd2980ba,1,1,S,Ellen,Lucy,Soukaku,Sharkboo
b57b8fc84e3d11efa4cb28c2dd2980ba,1,2,S,Zhu Yuan,Anby,Nicole,Amillion
b57b8fc94e3d11efbcae28c2dd2980ba,4,1,B,Zhu Yuan,Anby,Nicole,Resonaboo
b57b8fc94e3d11efbcae28c2dd2980ba,4,2,B,Soldier 11,Koleda,Lucy,Rocketboo
b57b8fc94e3d11efbcae28c2dd2980ba,3,1,A,Soldier 11,Koleda,Lucy,Rocketboo
b57b8fc94e3d11efbcae28c2dd2980ba,3,2,A,Zhu Yuan,Anby,Nicole,Resonaboo
b57b8fc94e3d11efbcae28c2dd2980ba,2,1,A,Zhu Yuan,Anby,Nicole,Resonaboo
b57b8fc94e3d11efbcae28c2dd2980ba,2,2,A,Soldier 11,Koleda,Lucy,Rocketboo
b57b8fc94e3d11efbcae28c2dd2980ba,1,1,S,Soldier 11,Koleda,Lucy,Rocketboo
b57b8fc94e3d11efbcae28c2dd2980ba,1,2,S,Zhu Yuan,Anby,Nicole,Resonaboo
b57b8fca4e3d11efa3a828c2dd2980ba,4,1,B,Anton,Koleda,Rina,Plugboo
b57b8fca4e3d11efa3a828c2dd2980ba,4,2,B,Ellen,Anby,Soukaku,Sharkboo
b57b8fca4e3d11efa3a828c2dd2980ba,3,1,A,Ellen,Koleda,Soukaku,Sharkboo
b57b8fca4e3d11efa3a828c2dd2980ba,3,2,A,Zhu Yuan,Anby,Nicole,Plugboo
