uid,phase,name,level,cons,weapon,element,artifacts
6fd38b91d3ae11efb1878878734f76cf,,Miyabi,60,0,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Woodpecker Electro"
6fd38b91d3ae11efb1878878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
6fd38b91d3ae11efb1878878734f76cf,,Nicole,60,5,The Vault,Ether,"4p Swing Jazz, Chaotic Metal"
6fd38b91d3ae11efb1878878734f76cf,,Soukaku,50,6,Bashful Demon,Ice,"4p Astral Voice, Swing Jazz"
6fd38b91d3ae11efb1878878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
6fd38b91d3ae11efb1878878734f76cf,,Seth,60,2,Peacekeeper - Specialized,Electric,"4p Swing Jazz, Hormone Punk"
6fd38b91d3ae11efb1878878734f76cf,,Zhu Yuan,60,0,Riot Suppressor Mark VI,Ether,"4p Chaotic Metal, Woodpecker Electro"
6fd38b91d3ae11efb1878878734f76cf,,Lucy,60,4,Kaboom the Cannon,Fire,"4p Astral Voice, Swing Jazz"
6fd38b92d3ae11ef97178878734f76cf,,Piper,60,6,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
6fd38b92d3ae11ef97178878734f76cf,,Miyabi,60,0,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Woodpecker Electro"
6fd38b92d3ae11ef97178878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Chaos Jazz"
6fd38b92d3ae11ef97178878734f76cf,,Ellen,60,0,The Brimstone,Ice,"4p Polar Metal, Woodpecker Electro"
6fd38b92d3ae11ef97178878734f76cf,,Soukaku,55,6,Slice of Time,Ice,"4p Freedom Blues, Swing Jazz"
6fd38b92d3ae11ef97178878734f76cf,,Lycaon,55,1,Steam Oven,Ice,"4p Shockstar Disco, Swing Jazz"
6fd38b92d3ae11ef97178878734f76cf,,Seth,55,3,Starlight Engine,Electric,"4p Swing Jazz, Proto Punk"
6fd38b92d3ae11ef97178878734f76cf,,Rina,55,0,,Electric,"4p Freedom Blues, Swing Jazz"
6fd38b92d3ae11ef97178878734f76cf,,Lucy,55,4,Slice of Time,Fire,"4p Swing Jazz, Hormone Punk"
6fd38b93d3ae11ef9e4a8878734f76cf,,Piper,60,4,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
6fd38b93d3ae11ef9e4a8878734f76cf,,Miyabi,60,0,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Woodpecker Electro"
6fd38b93d3ae11ef9e4a8878734f76cf,,Qingyi,60,0,Steam Oven,Electric,"4p Shockstar Disco, Swing Jazz"
6fd38b93d3ae11ef9e4a8878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
6fd38b93d3ae11ef9e4a8878734f76cf,,Zhu Yuan,60,0,Riot Suppressor Mark VI,Ether,"4p Chaotic Metal, Woodpecker Electro"
6fd38b93d3ae11ef9e4a8878734f76cf,,Lucy,50,6,Kaboom the Cannon,Fire,"4p Astral Voice, Swing Jazz"
6fd38b94d3ae11ef97718878734f76cf,,Miyabi,60,2,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Hormone Punk"
6fd38b94d3ae11ef97718878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
6fd38b94d3ae11ef97718878734f76cf,,Yanagi,60,0,Electro-Lip Gloss,Electric,"4p Chaos Jazz, Freedom Blues"
6fd38b94d3ae11ef97718878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Chaotic Metal"
6fd38b94d3ae11ef97718878734f76cf,,Burnice,60,0,Electro-Lip Gloss,Fire,"4p Chaos Jazz, Inferno Metal"
6fd38b94d3ae11ef97718878734f76cf,,Zhu Yuan,60,0,The Brimstone,Ether,"4p Chaotic Metal, Hormone Punk"
6fd38b94d3ae11ef97718878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Freedom Blues"
6fd38b95d3ae11ef94e78878734f76cf,,Lighter,60,1,Blazing Laurel,Fire,"Puffer Electro, Shockstar Disco, Flex"
6fd38b95d3ae11ef94e78878734f76cf,,Harumasa,60,2,Marcato Desire,Electric,"4p Thunder Metal, Woodpecker Electro"
6fd38b95d3ae11ef94e78878734f76cf,,Soldier 11,60,1,Starlight Engine Replica,Fire,"4p Woodpecker Electro, Inferno Metal"
6fd38b95d3ae11ef94e78878734f76cf,,Lycaon,60,0,Ice-Jade Teapot,Ice,"4p Shockstar Disco, Woodpecker Electro"
6fd38b95d3ae11ef94e78878734f76cf,,Rina,50,0,Slice of Time,Electric,"4p Swing Jazz, Puffer Electro"
