uid,phase,name,level,cons,weapon,element,artifacts
d4f3100db38711ef913e8878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
d4f3100db38711ef913e8878734f76cf,,Nicole,60,5,The Vault,Ether,"4p Swing Jazz, Chaotic Metal"
d4f3100db38711ef913e8878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
d4f3100db38711ef913e8878734f76cf,,Seth,60,2,Peacekeeper - Specialized,Electric,"4p Swing Jazz, Hormone Punk"
d4f3100db38711ef913e8878734f76cf,,Zhu Yuan,60,0,Riot Suppressor Mark VI,Ether,"4p Chaotic Metal, Woodpecker Electro"
d4f3100db38711ef913e8878734f76cf,,Lucy,60,3,Kaboom the Cannon,Fire,"4p Hormone Punk, Swing Jazz"
d4f3100eb38711ef9b788878734f76cf,,Piper,55,3,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
d4f3100eb38711ef9b788878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Chaos Jazz"
d4f3100eb38711ef9b788878734f76cf,,Ellen,60,0,Starlight Engine,Ice,"4p Polar Metal, Woodpecker Electro"
d4f3100eb38711ef9b788878734f76cf,,Soukaku,55,6,Slice of Time,Ice,"4p Swing Jazz, Freedom Blues"
d4f3100eb38711ef9b788878734f76cf,,Caesar,55,0,Demara Battery Mark II,Physical,"4p Proto Punk, Shockstar Disco"
d4f3100eb38711ef9b788878734f76cf,,Soldier 11,60,0,Starlight Engine,Fire,"4p Inferno Metal, Woodpecker Electro"
d4f3100eb38711ef9b788878734f76cf,,Lycaon,55,1,Steam Oven,Ice,"4p Shockstar Disco, Swing Jazz"
d4f3100eb38711ef9b788878734f76cf,,Seth,50,2,The Brimstone,Electric,"4p Freedom Blues, Swing Jazz"
d4f3100eb38711ef9b788878734f76cf,,Rina,50,0,Slice of Time,Electric,"4p Freedom Blues, Swing Jazz"
d4f3100eb38711ef9b788878734f76cf,,Lucy,55,4,,Fire,"4p Swing Jazz, Hormone Punk"
d4f3100fb38711ef819e8878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Chaos Jazz"
d4f3100fb38711ef819e8878734f76cf,,Ellen,60,0,Starlight Engine,Ice,"4p Polar Metal, Woodpecker Electro"
d4f3100fb38711ef819e8878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Hormone Punk"
d4f3100fb38711ef819e8878734f76cf,,Caesar,60,0,Original Transmorpher,Physical,"4p Proto Punk, Shockstar Disco"
d4f3100fb38711ef819e8878734f76cf,,Anby,60,6,Demara Battery Mark II,Electric,"4p Shockstar Disco, Swing Jazz"
d4f3100fb38711ef819e8878734f76cf,,Seth,60,4,Peacekeeper - Specialized,Electric,"4p Hormone Punk, Swing Jazz"
d4f3100fb38711ef819e8878734f76cf,,Rina,60,1,Weeping Cradle,Electric,"4p Swing Jazz, Puffer Electro"
d4f31010b38711efba628878734f76cf,,Piper,60,5,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
d4f31010b38711efba628878734f76cf,,Qingyi,60,0,,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31010b38711efba628878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
d4f31010b38711efba628878734f76cf,,Ellen,60,0,Deep Sea Visitor,Ice,"4p Polar Metal, Woodpecker Electro"
d4f31010b38711efba628878734f76cf,,Soukaku,57,6,Bashful Demon,Ice,"4p Swing Jazz, Hormone Punk"
d4f31010b38711efba628878734f76cf,,Caesar,60,0,Steam Oven,Physical,"4p Proto Punk, Shockstar Disco"
d4f31010b38711efba628878734f76cf,,Zhu Yuan,60,0,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
d4f31010b38711efba628878734f76cf,,Lucy,60,3,Kaboom the Cannon,Fire,"4p Swing Jazz, Hormone Punk"
d4f31011b38711ef918b8878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31011b38711ef918b8878734f76cf,,Ellen,60,2,Deep Sea Visitor,Ice,"4p Woodpecker Electro, Puffer Electro"
d4f31011b38711ef918b8878734f76cf,,Soukaku,60,6,Bashful Demon,Ice,"4p Swing Jazz, Hormone Punk"
d4f31011b38711ef918b8878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
d4f31011b38711ef918b8878734f76cf,,Caesar,60,0,Tusks of Fury,Physical,"4p Proto Punk, Swing Jazz"
d4f31011b38711ef918b8878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Hormone Punk"
d4f31012b38711efbe058878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31012b38711efbe058878734f76cf,,Yanagi,60,0,Electro-Lip Gloss,Electric,"4p Chaos Jazz, Freedom Blues"
d4f31012b38711efbe058878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Chaotic Metal"
d4f31012b38711efbe058878734f76cf,,Burnice,60,0,Electro-Lip Gloss,Fire,"4p Chaos Jazz, Inferno Metal"
d4f31012b38711efbe058878734f76cf,,Zhu Yuan,60,0,The Brimstone,Ether,"4p Chaotic Metal, Hormone Punk"
d4f31012b38711efbe058878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Freedom Blues"
d4f31013b38711efb5d38878734f76cf,,Piper,44,1,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
d4f31013b38711efb5d38878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Thunder Metal"
d4f31013b38711efb5d38878734f76cf,,Soukaku,50,6,Bashful Demon,Ice,"4p Swing Jazz, Polar Metal"
d4f31013b38711efb5d38878734f76cf,,Burnice,60,0,Weeping Gemini,Fire,"4p Freedom Blues, Inferno Metal"
d4f31013b38711efb5d38878734f76cf,,Nekomata,60,0,Steel Cushion,Physical,"Fanged Metal, Woodpecker Electro, Hormone Punk"
d4f31013b38711efb5d38878734f76cf,,Lucy,55,3,[Reverb] Mark II,Fire,"4p Swing Jazz, Hormone Punk"
d4f31014b38711efb2af8878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Freedom Blues"
d4f31014b38711efb2af8878734f76cf,,Lighter,60,1,Blazing Laurel,Fire,"4p Shockstar Disco, Puffer Electro"
d4f31014b38711efb2af8878734f76cf,,Lycaon,60,0,Starlight Engine Replica,Ice,"4p Woodpecker Electro, Polar Metal"
d4f31014b38711efb2af8878734f76cf,,Seth,60,0,Peacekeeper - Specialized,Electric,"Chaos Jazz, Thunder Metal, Freedom Blues"
d4f31014b38711efb2af8878734f76cf,,Rina,45,0,Slice of Time,Electric,"4p Swing Jazz, Puffer Electro"
d4f31014b38711efb2af8878734f76cf,,Lucy,50,4,Kaboom the Cannon,Fire,"4p Swing Jazz, Flex"
d4f31015b38711ef979e8878734f76cf,,Qingyi,60,0,The Restrained,Electric,"4p Shockstar Disco, Woodpecker Electro"
d4f31015b38711ef979e8878734f76cf,,Ellen,60,0,Starlight Engine,Ice,"4p Woodpecker Electro, Hormone Punk"
d4f31015b38711ef979e8878734f76cf,,Soukaku,55,6,Bashful Demon,Ice,"4p Hormone Punk, Woodpecker Electro"
d4f31015b38711ef979e8878734f76cf,,Caesar,60,0,Tusks of Fury,Physical,"4p Proto Punk, Shockstar Disco"
d4f31015b38711ef979e8878734f76cf,,Burnice,60,0,Weeping Gemini,Fire,"4p Chaos Jazz, Freedom Blues"
d4f31015b38711ef979e8878734f76cf,,Nekomata,60,0,Starlight Engine,Physical,"4p Woodpecker Electro, Fanged Metal"
d4f31016b38711ef9db48878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31016b38711ef9db48878734f76cf,,Yanagi,60,0,Timeweaver,Electric,"4p Chaos Jazz, Freedom Blues"
d4f31016b38711ef9db48878734f76cf,,Nicole,50,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
d4f31016b38711ef9db48878734f76cf,,Caesar,60,0,Original Transmorpher,Physical,"4p Proto Punk, Shockstar Disco"
d4f31016b38711ef9db48878734f76cf,,Burnice,60,0,Fusion Compiler,Fire,"4p Chaos Jazz, Freedom Blues"
d4f31016b38711ef9db48878734f76cf,,Zhu Yuan,60,0,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
d4f31017b38711ef99888878734f76cf,,Qingyi,60,0,The Restrained,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31017b38711ef99888878734f76cf,,Ellen,60,0,Starlight Engine,Ice,"4p Polar Metal, Woodpecker Electro"
d4f31017b38711ef99888878734f76cf,,Soukaku,60,4,Bashful Demon,Ice,"4p Proto Punk, Swing Jazz"
d4f31017b38711ef99888878734f76cf,,Jane,60,0,Weeping Gemini,Physical,"4p Fanged Metal, Freedom Blues"
d4f31017b38711ef99888878734f76cf,,Burnice,60,0,Weeping Gemini,Fire,"4p Chaos Jazz, Freedom Blues"
d4f31017b38711ef99888878734f76cf,,Lucy,60,2,[Reverb] Mark II,Fire,"4p Freedom Blues, Swing Jazz"
d4f31018b38711ef968a8878734f76cf,,Piper,55,4,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
d4f31018b38711ef968a8878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
d4f31018b38711ef968a8878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
d4f31018b38711ef968a8878734f76cf,,Jane,60,0,Weeping Gemini,Physical,"4p Fanged Metal, Freedom Blues"
d4f31018b38711ef968a8878734f76cf,,Caesar,60,0,Demara Battery Mark II,Physical,"4p Proto Punk, Swing Jazz"
d4f31018b38711ef968a8878734f76cf,,Seth,60,3,Peacekeeper - Specialized,Electric,"4p Swing Jazz, Hormone Punk"
d4f31018b38711ef968a8878734f76cf,,Zhu Yuan,60,0,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
d4f31018b38711ef968a8878734f76cf,,Lucy,55,6,Bashful Demon,Fire,"4p Swing Jazz, Hormone Punk"
d4f31019b38711ef82998878734f76cf,,Yanagi,60,0,Fusion Compiler,Electric,"4p Thunder Metal, Freedom Blues"
d4f31019b38711ef82998878734f76cf,,Nicole,50,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
d4f31019b38711ef82998878734f76cf,,Soukaku,55,4,Slice of Time,Ice,"4p Swing Jazz, Hormone Punk"
d4f31019b38711ef82998878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
d4f31019b38711ef82998878734f76cf,,Anby,55,6,Demara Battery Mark II,Electric,"4p Shockstar Disco, Thunder Metal"
d4f31019b38711ef82998878734f76cf,,Seth,55,5,Peacekeeper - Specialized,Electric,"4p Shockstar Disco, Hormone Punk"
d4f31019b38711ef82998878734f76cf,,Zhu Yuan,60,1,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
d4f31019b38711ef82998878734f76cf,,Lucy,55,4,Kaboom the Cannon,Fire,"4p Swing Jazz, Hormone Punk"
d4f3101ab38711ef8bfd8878734f76cf,,Yanagi,60,0,Timeweaver,Electric,"4p Chaos Jazz, Freedom Blues"
