uid,floor,star,score,boss,buff,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo,rank_percent
1000001,1,3,23833,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,0,Ju Fufu,0,Rocketboo,27.16%
1000001,2,3,25266,Miasmic Fiend - Unfathomable,Dream Delusion,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,27.16%
1000001,3,3,28295,The Defiler,Combined Attack,Astra Yao,0,Seed,0,Soldier 11,3,Agent Gulliver,27.16%
1000002,1,3,25006,Wandering Hunter,Pinnacle,Yixuan,1,Pan Yinhu,5,Lucia,0,Belion,28.26%
1000002,2,3,21676,Miasmic Fiend - Unfathomable,Dream Delusion,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,28.26%
1000002,3,3,20975,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Orphie & Magus,0,Mercury,28.26%
1000003,1,3,31443,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,0,Ju Fufu,0,Belion,12.51%
1000003,2,3,22260,Miasmic Fiend - Unfathomable,Dream Delusion,Vivian,0,Yuzuha,0,Jane,0,Robin,12.51%
1000003,3,3,29741,The Defiler,Combined Attack,Astra Yao,0,Seed,0,Orphie & Magus,0,Mercury,12.51%
1000004,1,3,20120,Wandering Hunter,Pinnacle,Manato,4,Koleda,1,Lucia,0,Snap,19.88%
1000004,2,3,33280,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Vivian,0,Yuzuha,0,Miss Esme,19.88%
1000004,3,3,21289,The Defiler,Combined Attack,Soldier 0 - Anby,0,Harumasa,0,Astra Yao,0,Plugboo,19.88%
1000005,1,3,45504,Wandering Hunter,Pinnacle,Lucia,1,Manato,6,Ju Fufu,0,Rocketboo,2.61%
1000005,2,3,32696,Miasmic Fiend - Unfathomable,Dream Delusion,Vivian,0,Yuzuha,0,Jane,0,Officer Cui,2.61%
1000005,3,3,34139,The Defiler,Combined Attack,Astra Yao,0,Lighter,6,Evelyn,0,Snap,2.61%
1000006,1,3,22499,Wandering Hunter,Combined Attack,Evelyn,0,Trigger,0,Astra Yao,0,Snap,60.04%
1000006,2,3,23602,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Pan Yinhu,6,Lucia,0,Belion,60.04%
1000007,1,1,10701,Wandering Hunter,Pinnacle,Manato,6,Miyabi,1,Soukaku,6,Sharkboo,94.28%
1000008,1,3,36581,Wandering Hunter,Pinnacle,Yixuan,0,Pan Yinhu,6,Lucia,0,Belion,5.61%
1000008,2,3,30763,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,2,Vivian,0,Yuzuha,0,Robin,5.61%
1000008,3,3,31162,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Astra Yao,0,Mercury,5.61%
1000010,1,2,18303,Wandering Hunter,Pinnacle,Yixuan,0,Pulchra,6,Koleda,2,Miss Esme,31.99%
1000010,2,3,21770,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,1,Yuzuha,0,Jane,1,Sharkboo,31.99%
1000010,3,3,24409,The Defiler,Combined Attack,Orphie & Magus,0,Soldier 0 - Anby,0,Astra Yao,0,Mercury,31.99%
1000011,1,3,45879,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Resonaboo,3.89%
1000011,2,3,37571,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Alice,0,Vivian,0,Belion,3.89%
1000011,3,3,35013,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Orphie & Magus,0,Plugboo,3.89%
1000012,1,3,45268,Wandering Hunter,Pinnacle,Yidhari,0,Lycaon,4,Lucia,0,Sharkboo,3.87%
1000012,2,3,28237,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Miyabi,3,Vivian,0,Robin,3.87%
1000012,3,3,32127,The Defiler,Combined Attack,Astra Yao,0,Soldier 0 - Anby,0,Trigger,0,Plugboo,3.87%
1000013,2,3,25593,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Yuzuha,0,Astra Yao,0,Luckyboo,20.74%
1000013,3,3,48258,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,1,Orphie & Magus,1,Mercury,20.74%
1000014,1,3,44375,Wandering Hunter,Pinnacle,Yixuan,1,Ju Fufu,0,Lucia,0,Belion,12.0%
1000014,2,3,24069,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Yuzuha,0,Yanagi,0,Snap,12.0%
1000014,3,3,26008,The Defiler,Combined Attack,Trigger,0,Harumasa,0,Seed,0,Agent Gulliver,12.0%
1000015,1,3,34426,Wandering Hunter,Dream Delusion,Miyabi,2,Vivian,0,Yuzuha,0,Robin,2.4%
1000015,2,3,40152,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,1,Pulchra,6,Lucia,0,Belion,2.4%
1000015,3,3,39396,The Defiler,Combined Attack,Soldier 0 - Anby,0,Orphie & Magus,0,Astra Yao,0,Mercury,2.4%
1000016,1,3,46358,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,8.76%
1000016,2,3,25768,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Yanagi,0,Yuzuha,0,Agent Gulliver,8.76%
1000016,3,3,28949,The Defiler,Combined Attack,Soldier 11,2,Trigger,0,Orphie & Magus,0,Mercury,8.76%
1000017,1,3,22913,Wandering Hunter,Combined Attack,Soldier 11,5,Orphie & Magus,0,Astra Yao,0,Rocketboo,22.92%
1000017,2,3,20996,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Vivian,0,Yuzuha,0,Robin,22.92%
1000017,3,3,28046,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Nicole,6,Mercury,22.92%
1000018,1,3,56319,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,0,Ju Fufu,0,Belion,57.16%
1000019,1,2,17855,Wandering Hunter,Combined Attack,Soldier 11,2,Lighter,0,Astra Yao,0,Snap,20.58%
1000019,2,3,41188,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,6,Yanagi,0,Yuzuha,0,Agent Gulliver,20.58%
1000019,3,3,24291,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Nicole,6,Mercury,20.58%
1000020,1,3,65000,Wandering Hunter,Pinnacle,Lucia,2,Yixuan,6,Ju Fufu,2,Belion,0.07%
1000020,2,3,65000,Miasmic Fiend - Unfathomable,Dream Delusion,Vivian,2,Yuzuha,2,Alice,6,Robin,0.07%
1000020,3,3,65000,The Defiler,Combined Attack,Astra Yao,2,Seed,6,Soldier 0 - Anby,6,Snap,0.07%
1000021,1,3,24793,Wandering Hunter,Dream Delusion,Yuzuha,0,Miyabi,2,Burnice,0,Rocketboo,33.13%
1000021,2,3,21297,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,33.13%
1000021,3,3,26772,The Defiler,Combined Attack,Trigger,0,Seed,0,Soldier 0 - Anby,0,Mercury,33.13%
1000022,1,3,20119,Wandering Hunter,Dream Delusion,Astra Yao,0,Burnice,0,Miyabi,0,Overtimeboo,55.2%
1000022,3,3,28962,The Defiler,Combined Attack,Trigger,0,Seed,0,Soldier 0 - Anby,0,Mercury,55.2%
1000023,1,3,65000,Wandering Hunter,Dream Delusion,Astra Yao,4,Miyabi,6,Trigger,1,Snap,0.01%
1000023,2,3,65000,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,2,Vivian,6,Alice,2,Robin,0.01%
1000023,3,3,65000,The Defiler,Pinnacle,Lucia,2,Yixuan,6,Ju Fufu,2,Belion,0.01%
1000024,1,3,20755,Wandering Hunter,Pinnacle,Manato,6,Trigger,0,Lucia,0,Miss Esme,54.93%
1000024,2,1,8279,Miasmic Fiend - Unfathomable,Dream Delusion,Hugo,0,Caesar,0,Lycaon,2,Robin,54.93%
1000024,3,3,20202,The Defiler,Dream Delusion,Evelyn,0,Lighter,0,Astra Yao,0,Snap,54.93%
1000025,1,2,18686,Wandering Hunter,Combined Attack,Hugo,0,Lighter,0,Lycaon,2,Robin,26.69%
1000025,2,2,17723,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Burnice,0,Yuzuha,0,Bangvolver,26.69%
1000025,3,3,32214,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Nicole,6,Snap,26.69%
1000026,1,3,21684,Wandering Hunter,Combined Attack,Miyabi,0,Trigger,0,Yuzuha,0,Snap,24.51%
1000026,2,3,21335,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Qingyi,0,Lucia,0,Resonaboo,24.51%
1000026,3,3,27461,The Defiler,Combined Attack,Soldier 0 - Anby,0,Seed,0,Astra Yao,0,Plugboo,24.51%
1000027,1,3,45871,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,2,Pan Yinhu,6,Belion,1.36%
1000027,2,3,37354,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Alice,0,Vivian,0,Miss Esme,1.36%
1000027,3,3,42190,The Defiler,Combined Attack,Astra Yao,0,Seed,0,Soldier 0 - Anby,1,Plugboo,1.36%
1000028,1,3,45936,Wandering Hunter,Pinnacle,Lucia,0,Yidhari,0,Lycaon,0,Sharkboo,6.73%
1000028,2,3,20707,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Vivian,0,Miyabi,0,Miss Esme,6.73%
1000028,3,3,28042,The Defiler,Combined Attack,Astra Yao,0,Soldier 0 - Anby,0,Trigger,0,Mercury,6.73%
1000029,1,3,20668,Wandering Hunter,Pinnacle,Manato,6,Pan Yinhu,2,Lucia,0,Snap,91.51%
1000030,1,2,18505,Wandering Hunter,Pinnacle,Yixuan,0,Lucia,0,Orphie & Magus,0,Mercury,47.53%
1000030,2,2,16764,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Vivian,0,Piper,6,Devilboo,47.53%
1000030,3,2,18358,The Defiler,Combined Attack,Soldier 0 - Anby,1,Trigger,0,Astra Yao,0,Agent Gulliver,47.53%
1000031,1,3,20086,Wandering Hunter,Pinnacle,Ju Fufu,0,Yixuan,0,Pan Yinhu,6,Belion,25.05%
1000031,2,3,26461,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Alice,0,Yanagi,0,Miss Esme,25.05%
1000031,3,3,32614,The Defiler,Combined Attack,Astra Yao,0,Orphie & Magus,0,Seed,0,Mercury,25.05%
1000032,1,3,58793,Wandering Hunter,Pinnacle,Yixuan,2,Ju Fufu,0,Lucia,0,Belion,7.22%
1000032,3,3,34784,The Defiler,Combined Attack,Seed,0,Trigger,1,Evelyn,0,Mercury,7.22%
1000033,1,3,22439,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,0,Pan Yinhu,2,Belion,34.05%
1000033,2,3,24346,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Vivian,0,Astra Yao,0,Robin,34.05%
1000033,3,2,16730,The Defiler,Combined Attack,Seed,0,Harumasa,0,Trigger,0,Mercury,34.05%
1000034,1,3,40835,Wandering Hunter,Dream Delusion,Miyabi,6,Yanagi,1,Astra Yao,1,Agent Gulliver,6.95%
1000034,2,3,65000,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,6,Ju Fufu,1,Lucia,1,Belion,6.95%
1000035,1,3,23322,Wandering Hunter,Combined Attack,Evelyn,0,Lighter,0,Astra Yao,0,Snap,18.13%
1000035,2,3,30407,Miasmic Fiend - Unfathomable,Dream Delusion,Alice,0,Vivian,0,Yuzuha,0,Miss Esme,18.13%
1000035,3,3,22768,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Nicole,6,Plugboo,18.13%
1000036,1,3,25920,Wandering Hunter,Pinnacle,Astra Yao,0,Yixuan,1,Ju Fufu,0,Belion,72.82%
1000036,2,3,20201,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Miyabi,2,Yanagi,0,Agent Gulliver,72.82%
1000037,1,3,38562,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,17.55%
1000037,2,3,24687,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Vivian,0,Yuzuha,0,Robin,17.55%
1000037,3,1,13873,The Defiler,Combined Attack,Evelyn,0,Harumasa,0,Astra Yao,0,Snap,17.55%
1000038,1,3,30717,Wandering Hunter,Combined Attack,Astra Yao,1,Evelyn,2,Trigger,1,Snap,41.69%
1000038,2,3,26318,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Alice,0,Nicole,6,Miss Esme,41.69%
1000039,1,1,13030,Wandering Hunter,Dream Delusion,Astra Yao,0,Miyabi,0,Soldier 0 - Anby,0,Agent Gulliver,95.88%
1000040,1,3,34516,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Astra Yao,0,Belion,3.14%
1000040,2,3,32531,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,2,Yuzuha,0,Yanagi,0,Agent Gulliver,3.14%
1000040,3,3,56287,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,1,Orphie & Magus,0,Mercury,3.14%
1000041,1,3,21760,Wandering Hunter,Pinnacle,Lucia,0,Yidhari,0,Trigger,0,Excaliboo,31.37%
1000041,2,3,20780,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Vivian,0,Alice,0,Miss Esme,31.37%
1000041,3,3,22891,The Defiler,Combined Attack,Astra Yao,0,Soldier 0 - Anby,0,Orphie & Magus,0,Agent Gulliver,31.37%
1000042,1,3,36017,Wandering Hunter,Pinnacle,Pulchra,6,Lucia,0,Manato,6,Miss Esme,14.57%
1000042,2,3,21827,Miasmic Fiend - Unfathomable,Dream Delusion,Astra Yao,0,Miyabi,1,Yanagi,0,Agent Gulliver,14.57%
1000042,3,3,22683,The Defiler,Combined Attack,Trigger,0,Orphie & Magus,0,Anton,6,Electroboo,14.57%
1000043,1,3,39061,Wandering Hunter,Pinnacle,Lucia,0,Yixuan,0,Ju Fufu,0,Belion,15.64%
1000043,2,3,27060,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Vivian,0,Alice,0,Robin,15.64%
1000043,3,3,22906,The Defiler,Combined Attack,Astra Yao,0,Soldier 0 - Anby,0,Trigger,0,Snap,15.64%
1000044,1,1,11911,Wandering Hunter,Dream Delusion,Miyabi,1,Yanagi,0,Vivian,0,Agent Gulliver,88.79%
1000044,2,2,14079,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Caesar,0,Astra Yao,0,Belion,88.79%
1000045,1,3,28589,Wandering Hunter,Pinnacle,Manato,6,Pulchra,6,Lucia,0,Miss Esme,29.37%
1000045,2,3,25944,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Vivian,0,Alice,0,Robin,29.37%
1000045,3,3,21107,The Defiler,Combined Attack,Harumasa,0,Trigger,0,Astra Yao,0,Knightboo,29.37%
1000046,1,3,31947,Wandering Hunter,Pinnacle,Trigger,0,Lucia,0,Yixuan,0,Belion,29.37%
1000046,2,2,17277,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Lycaon,1,Soukaku,6,Sharkboo,29.37%
1000046,3,2,17257,The Defiler,Combined Attack,Qingyi,1,Astra Yao,0,Harumasa,0,Plugboo,29.37%
1000047,1,3,24180,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,59.85%
1000047,2,2,14962,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Jane,0,Astra Yao,0,Resonaboo,59.85%
1000047,3,2,15348,The Defiler,Combined Attack,Soldier 0 - Anby,0,Seed,0,Anby,6,Plugboo,59.85%
1000048,1,3,28596,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,12.11%
1000048,2,3,23252,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Jane,0,Vivian,0,Robin,12.11%
1000048,3,3,32167,The Defiler,Combined Attack,Astra Yao,0,Soldier 0 - Anby,1,Trigger,0,Plugboo,12.11%
1000049,2,1,12402,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Trigger,0,Lucia,0,Resonaboo,92.78%
1000050,1,3,32464,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,28.44%
1000050,2,3,20492,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Vivian,0,Yuzuha,0,Baddieboo,28.44%
1000050,3,3,23414,The Defiler,Combined Attack,Harumasa,0,Trigger,0,Astra Yao,0,Bagboo,28.44%
1000051,2,3,20962,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,6,Burnice,0,Soukaku,6,Sharkboo,83.83%
1000051,3,1,13263,The Defiler,Combined Attack,Soldier 0 - Anby,0,Harumasa,0,Pulchra,6,Plugboo,83.83%
1000052,1,2,17278,Wandering Hunter,Combined Attack,Evelyn,0,Lucy,4,Lighter,0,Snap,36.45%
1000052,2,3,20670,Miasmic Fiend - Unfathomable,Dream Delusion,Piper,6,Vivian,0,Astra Yao,1,Robin,36.45%
1000052,3,3,23182,The Defiler,Combined Attack,Seed,0,Ju Fufu,0,Orphie & Magus,0,Mercury,36.45%
1000053,1,3,33130,Wandering Hunter,Pinnacle,Yixuan,0,Pan Yinhu,6,Lucia,0,Devilboo,11.12%
1000053,2,3,25821,Miasmic Fiend - Unfathomable,Dream Delusion,Jane,0,Vivian,0,Yuzuha,0,Robin,11.12%
1000053,3,3,26638,The Defiler,Combined Attack,Soldier 0 - Anby,0,Trigger,0,Astra Yao,0,Snap,11.12%
1000054,1,2,17753,Wandering Hunter,Dream Delusion,Miyabi,0,Caesar,0,Yuzuha,0,Sharkboo,69.78%
1000054,2,2,14049,Miasmic Fiend - Unfathomable,Pinnacle,Yixuan,0,Vivian,0,Lucia,0,Robin,69.78%
1000054,3,2,16359,The Defiler,Dream Delusion,Soldier 0 - Anby,0,Seed,0,Trigger,0,Plugboo,69.78%
1000055,2,2,14716,Miasmic Fiend - Unfathomable,Dream Delusion,Miyabi,0,Astra Yao,0,Nicole,6,Robin,79.3%
1000055,3,1,13698,The Defiler,Combined Attack,Yuzuha,0,Harumasa,1,Soldier 0 - Anby,0,Officer Cui,79.3%
1000056,1,3,20066,Wandering Hunter,Combined Attack,Astra Yao,1,Evelyn,0,Lighter,0,Snap,26.39%
1000056,2,3,20200,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Nicole,6,Miyabi,0,Miss Esme,26.39%
1000056,3,3,37762,The Defiler,Combined Attack,Trigger,0,Orphie & Magus,2,Seed,0,Mercury,26.39%
1000058,1,3,29765,Wandering Hunter,Pinnacle,Yixuan,0,Ju Fufu,0,Lucia,0,Belion,47.87%
1000058,2,3,23647,Miasmic Fiend - Unfathomable,Dream Delusion,Astra Yao,0,Miyabi,0,Vivian,1,Robin,47.87%
1000059,1,3,27747,Wandering Hunter,Dream Delusion,Astra Yao,0,Soukaku,6,Miyabi,6,Sharkboo,34.08%
1000059,2,3,20112,Miasmic Fiend - Unfathomable,Dream Delusion,Yuzuha,0,Alice,0,Vivian,0,Butler,34.08%
1000059,3,3,24330,The Defiler,Pinnacle,Lucia,0,Yixuan,0,Ju Fufu,0,Snap,34.08%
1000060,1,3,20375,Wandering Hunter,Dream Delusion,Astra Yao,0,Miyabi,0,Yanagi,0,Agent Gulliver,20.86%
