uid,floor,node,rating,time,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo
1000000,5,1,S,25460,Yuzuha,0,Alice,0,Jane,0,Miss Esme
1000000,5,2,S,25772,Lucia,0,Ye Shunguang,1,Seed,0,Sprout
1000000,5,3,S,32206,Astra Yao,0,Miyabi,2,Vivian,0,Agent Gulliver
1000001,5,1,S,27306,Astra Yao,0,Evelyn,0,Lighter,0,Snap
1000001,5,2,S,34748,Orphie & Magus,0,Seed,0,Dialyn,0,Mercury
1000001,5,3,S,38660,Yuzuha,0,Miyabi,1,Vivian,0,Robin
1000002,5,1,S,32690,Jane,0,Vivian,0,Yuzuha,0,Resonaboo
1000002,5,2,S,25168,Soldier 0 - Anby,0,Pulchra,6,Dialyn,0,Plugboo
1000002,5,3,S,32467,Miyabi,0,Nicole,6,Astra Yao,0,Devilboo
1000003,5,1,S,42487,Lucia,2,Banyue,1,Dialyn,1,Birkblick
1000003,5,2,S,26710,Vivian,0,Yuzuha,0,Jane,0,Robin
1000003,5,3,S,34288,Astra Yao,0,Yanagi,0,Miyabi,0,Penguinboo
1000004,5,1,S,33241,Yixuan,0,Dialyn,0,Lucia,0,Belion
1000004,5,2,S,32663,Ye Shunguang,0,Trigger,0,Zhao,0,Sprout
1000004,5,3,S,26097,Miyabi,0,Nicole,6,Astra Yao,0,Devilboo
1000005,5,1,S,38909,Ye Shunguang,0,Dialyn,0,Zhao,0,Sprout
1000005,5,2,S,32710,Soldier 0 - Anby,0,Trigger,0,Astra Yao,0,Plugboo
1000005,5,3,S,32306,Miyabi,2,Lycaon,4,Soukaku,6,Sharkboo
1000006,5,1,S,28422,Yixuan,0,Pan Yinhu,6,Lucia,0,Belion
1000006,5,2,S,33627,Jane,2,Seth,6,Yuzuha,0,Bangvolver
1000006,5,3,A,22941,Miyabi,0,Lycaon,1,Soukaku,6,Agent Gulliver
1000007,5,1,S,35894,Ye Shunguang,0,Zhao,0,Dialyn,0,Sprout
1000007,5,2,S,27949,Orphie & Magus,0,Soldier 0 - Anby,0,Astra Yao,0,Mercury
1000007,5,3,S,28375,Miyabi,1,Yuzuha,0,Soukaku,6,Sharkboo
1000008,5,1,S,42906,Ye Shunguang,2,Dialyn,0,Zhao,0,Sprout
1000008,5,2,S,32983,Astra Yao,0,Soldier 0 - Anby,0,Trigger,0,Plugboo
1000008,5,3,S,37063,Yuzuha,0,Miyabi,3,Vivian,0,Sharkboo
1000009,5,1,S,28183,Burnice,0,Jane,0,Yuzuha,0,Luckyboo
1000009,5,2,S,39946,Soldier 0 - Anby,0,Trigger,1,Orphie & Magus,1,Mercury
1000009,5,3,S,39358,Ellen,6,Dialyn,0,Astra Yao,0,Snap
1000010,5,1,S,31068,Ju Fufu,0,Yixuan,1,Trigger,0,Belion
1000010,5,2,S,32351,Yanagi,0,Yuzuha,0,Miyabi,0,Devilboo
1000010,5,3,S,29062,Yidhari,0,Lucia,0,Lycaon,0,Sharkboo
1000011,5,1,S,49558,Ye Shunguang,2,Dialyn,0,Zhao,0,Sprout
1000011,5,2,S,34164,Soldier 0 - Anby,0,Orphie & Magus,0,Astra Yao,0,Mercury
1000011,5,3,S,44702,Miyabi,2,Vivian,0,Yuzuha,0,Robin
1000012,5,1,S,26935,Evelyn,0,Pulchra,6,Ju Fufu,0,Rocketboo
1000012,5,2,S,27571,Soldier 0 - Anby,0,Trigger,0,Seed,0,Plugboo
1000012,5,3,S,40375,Miyabi,6,Yanagi,0,Vivian,0,Agent Gulliver
1000013,5,1,S,35508,Yixuan,0,Ju Fufu,0,Lucia,0,Belion
1000013,5,2,S,40061,Miyabi,0,Yanagi,0,Yuzuha,0,Agent Gulliver
1000013,5,3,S,32037,Ellen,2,Dialyn,0,Astra Yao,0,Birkblick
1000014,5,1,S,25667,Soldier 11,5,Dialyn,0,Orphie & Magus,0,Rocketboo
1000014,5,2,S,33139,Astra Yao,0,Soldier 0 - Anby,0,Trigger,0,Mercury
