uid,floor,star,score,boss,buff,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo,rank_percent
4eca31e89dee11f08b768878734f76cc,2,2,19754,Notorious - Dead End Butcher,Aberration,Miyabi,0,Lycaon,2.0,Soukaku,6.0,Sharkboo,59.3%
4eca31e89dee11f08b768878734f76cc,3,3,26450,Notorious - Pompey,Collapse,Evelyn,0,Lighter,0.0,Astra Yao,0.0,Snap,59.3%
4eca32c49dee11f0b2928878734f76cc,1,3,25517,The Defiler,Chasing Blade,Astra Yao,0,Seed,0.0,Soldier 11,2.0,Plugboo,31.5%
4eca32c49dee11f0b2928878734f76cc,2,3,24509,Notorious - Dead End Butcher,Aberration,Alice,0,Yuzuha,0.0,Vivian,0.0,Miss Esme,31.5%
4eca32c49dee11f0b2928878734f76cc,3,3,20373,Notorious - Pompey,Collapse,Miyabi,2,Ju Fufu,0.0,Burnice,0.0,Red Moccus,31.5%
4eca33249dee11f0bf9c8878734f76cc,1,1,13184,The Defiler,Collapse,Jane,0,Yuzuha,0.0,Astra Yao,0.0,Bangvolver,92.56%
4eca33659dee11f08c028878734f76cc,1,2,15277,The Defiler,Chasing Blade,Soldier 0 - Anby,0,Trigger,0.0,Astra Yao,0.0,Plugboo,38.12%
4eca33659dee11f08c028878734f76cc,2,3,28039,Notorious - Dead End Butcher,Aberration,Miyabi,3,Yuzuha,0.0,Vivian,0.0,Knightboo,38.12%
4eca33659dee11f08c028878734f76cc,3,2,14964,Notorious - Pompey,Chasing Blade,Evelyn,0,Burnice,0.0,Orphie & Magus,0.0,Overtimeboo,38.12%
4eca33a09dee11f0a87c8878734f76cc,1,2,17598,The Defiler,Collapse,Ju Fufu,0,Seed,0.0,Harumasa,0.0,Plugboo,45.64%
4eca33a09dee11f0a87c8878734f76cc,2,2,15799,Notorious - Dead End Butcher,Aberration,Miyabi,1,Vivian,0.0,Soukaku,6.0,Robin,45.64%
4eca33a09dee11f0a87c8878734f76cc,3,2,19990,Notorious - Pompey,Collapse,Astra Yao,0,Evelyn,0.0,Lighter,0.0,Snap,45.64%
4eca33d89dee11f080668878734f76cc,1,3,20304,The Defiler,Collapse,Soldier 0 - Anby,0,Lucy,6.0,Astra Yao,0.0,Snap,32.39%
4eca33d89dee11f080668878734f76cc,2,3,21655,Notorious - Dead End Butcher,Aberration,Miyabi,0,Vivian,0.0,Nicole,6.0,Resonaboo,32.39%
4eca33d89dee11f080668878734f76cc,3,3,20477,Notorious - Pompey,Collapse,Yixuan,0,Pan Yinhu,4.0,Yuzuha,0.0,Miss Esme,32.39%
4eca34179dee11f0a6aa8878734f76cc,1,3,20469,The Defiler,Collapse,Astra Yao,0,Ju Fufu,0.0,Harumasa,0.0,Plugboo,4.25%
4eca34179dee11f0a6aa8878734f76cc,2,3,35472,Notorious - Dead End Butcher,Aberration,Yuzuha,0,Yanagi,0.0,Miyabi,0.0,Penguinboo,4.25%
4eca34179dee11f0a6aa8878734f76cc,3,3,41892,Notorious - Pompey,Collapse,Lycaon,3,Lighter,6.0,Hugo,0.0,Robin,4.25%
4eca344d9dee11f0b3048878734f76cc,1,2,19440,The Defiler,Collapse,Yixuan,0,Pan Yinhu,6.0,Pulchra,6.0,Belion,40.07%
4eca344d9dee11f0b3048878734f76cc,2,1,12353,Notorious - Dead End Butcher,Aberration,Nicole,6,Miyabi,0.0,Lucy,1.0,Agent Gulliver,40.07%
4eca344d9dee11f0b3048878734f76cc,3,3,24939,Notorious - Pompey,Collapse,Evelyn,0,Trigger,0.0,Astra Yao,0.0,Snap,40.07%
4eca34829dee11f0a1fd8878734f76cc,1,3,26165,The Defiler,Chasing Blade,Soldier 0 - Anby,0,Trigger,0.0,Astra Yao,0.0,Mercury,16.53%
4eca34829dee11f0a1fd8878734f76cc,2,3,26136,Notorious - Dead End Butcher,Aberration,Miyabi,2,Lycaon,4.0,Soukaku,6.0,Robin,16.53%
4eca34829dee11f0a1fd8878734f76cc,3,3,22056,Notorious - Pompey,Aberration,Alice,0,Vivian,0.0,Yuzuha,0.0,Miss Esme,16.53%
4eca34b59dee11f0b0748878734f76cc,1,1,13956,The Defiler,Chasing Blade,Soldier 0 - Anby,0,Caesar,0.0,Pulchra,6.0,Red Moccus,48.06%
4eca34b59dee11f0b0748878734f76cc,2,2,15635,Notorious - Dead End Butcher,Aberration,Miyabi,0,Yanagi,0.0,Rina,1.0,Agent Gulliver,48.06%
4eca34b59dee11f0b0748878734f76cc,3,3,22462,Notorious - Pompey,Collapse,Evelyn,0,Astra Yao,0.0,Koleda,1.0,Snap,48.06%
4eca34ea9dee11f0b7588878734f76cc,1,3,20763,The Defiler,Chasing Blade,Soldier 0 - Anby,0,Orphie & Magus,0.0,Astra Yao,0.0,Mercury,21.87%
4eca34ea9dee11f0b7588878734f76cc,2,3,29135,Notorious - Dead End Butcher,Aberration,Miyabi,1,Yuzuha,0.0,Soukaku,6.0,Sharkboo,21.87%
4eca34ea9dee11f0b7588878734f76cc,3,2,19751,Notorious - Pompey,Collapse,Yixuan,0,Pulchra,6.0,Caesar,0.0,Red Moccus,21.87%
4eca351d9dee11f0bddf8878734f76cc,1,3,35890,The Defiler,Chasing Blade,Soldier 0 - Anby,0,Trigger,0.0,Orphie & Magus,0.0,Plugboo,2.31%
4eca351d9dee11f0bddf8878734f76cc,2,3,53691,Notorious - Dead End Butcher,Aberration,Miyabi,1,Yuzuha,0.0,Soukaku,6.0,Sharkboo,2.31%
4eca351d9dee11f0bddf8878734f76cc,3,3,34792,Notorious - Pompey,Collapse,Evelyn,0,Ju Fufu,0.0,Astra Yao,0.0,Rocketboo,2.31%
