uid,phase,name,level,cons,weapon,element,artifacts
1281118b6f9e11ef8af928c2dd2980ba,,Jane,60,0,Electro-Lip Gloss,Physical,"4p Fanged Metal, Freedom Blues"
1281118b6f9e11ef8af928c2dd2980ba,,Zhu Yuan,60,0,Riot Suppressor Mark VI,Ether,"4p Chaotic Metal, Woodpecker Electro"
1281118b6f9e11ef8af928c2dd2980ba,,Seth,60,2,Spring Embrace,Electric,"4p Swing Jazz, Freedom Blues"
1281118b6f9e11ef8af928c2dd2980ba,,Qingyi,50,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
1281118b6f9e11ef8af928c2dd2980ba,,Ellen,50,0,Deep Sea Visitor,Ice,"4p Woodpecker Electro, Polar Metal"
1281118b6f9e11ef8af928c2dd2980ba,,Lucy,50,2,Kaboom the Cannon,Fire,"4p Hormone Punk, Swing Jazz"
1281118b6f9e11ef8af928c2dd2980ba,,Soukaku,50,6,Bashful Demon,Ice,"4p Hormone Punk, Polar Metal"
1281118b6f9e11ef8af928c2dd2980ba,,Nicole,50,5,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
1281118c6f9e11efa7c128c2dd2980ba,,Zhu Yuan,60,1,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
1281118c6f9e11efa7c128c2dd2980ba,,Soldier 11,60,0,Starlight Engine,Fire,"4p Inferno Metal, Woodpecker Electro"
1281118c6f9e11efa7c128c2dd2980ba,,Lucy,60,4,Kaboom the Cannon,Fire,"4p Swing Jazz, Chaotic Metal"
1281118c6f9e11efa7c128c2dd2980ba,,Qingyi,55,0,Steam Oven,Electric,"4p Shockstar Disco, Swing Jazz"
1281118c6f9e11efa7c128c2dd2980ba,,Koleda,55,1,Steam Oven,Fire,"4p Shockstar Disco, Swing Jazz"
1281118c6f9e11efa7c128c2dd2980ba,,Nicole,55,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
1281118d6f9e11ef997628c2dd2980ba,,Zhu Yuan,50,0,Starlight Engine,Ether,"4p Chaotic Metal, Woodpecker Electro"
1281118d6f9e11ef997628c2dd2980ba,,Ellen,50,1,The Brimstone,Ice,"4p Woodpecker Electro, Puffer Electro"
1281118d6f9e11ef997628c2dd2980ba,,Soukaku,50,6,Bashful Demon,Ice,"4p Swing Jazz, Hormone Punk"
1281118d6f9e11ef997628c2dd2980ba,,Anby,50,0,Steam Oven,Electric,"4p Shockstar Disco, Swing Jazz"
1281118d6f9e11ef997628c2dd2980ba,,Koleda,45,0,Steam Oven,Fire,"4p Shockstar Disco, Swing Jazz"
1281118d6f9e11ef997628c2dd2980ba,,Nicole,45,6,The Vault,Ether,"4p Swing Jazz, Freedom Blues"
1281118e6f9e11efbe1f28c2dd2980ba,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
1281118e6f9e11efbe1f28c2dd2980ba,,Ellen,60,0,Deep Sea Visitor,Ice,"4p Woodpecker Electro, Puffer Electro"
1281118e6f9e11efbe1f28c2dd2980ba,,Seth,60,5,Peacekeeper - Specialized,Electric,"4p Swing Jazz, Hormone Punk"
1281118e6f9e11efbe1f28c2dd2980ba,,Soukaku,60,6,Bashful Demon,Ice,"4p Swing Jazz, Hormone Punk"
1281118e6f9e11efbe1f28c2dd2980ba,,Lycaon,50,0,[Vortex] Arrow,Ice,"4p Shockstar Disco, Swing Jazz"
1281118e6f9e11efbe1f28c2dd2980ba,,Lucy,50,1,Kaboom the Cannon,Fire,"4p Swing Jazz, Inferno Metal"
1281118f6f9e11efa36028c2dd2980ba,,Ellen,60,0,Starlight Engine,Ice,"4p Polar Metal, Woodpecker Electro"
1281118f6f9e11efa36028c2dd2980ba,,Soldier 11,60,0,Starlight Engine,Fire,"4p Inferno Metal, Woodpecker Electro"
1281118f6f9e11efa36028c2dd2980ba,,Piper,51,1,Roaring Ride,Physical,"4p Fanged Metal, Freedom Blues"
1281118f6f9e11efa36028c2dd2980ba,,Lucy,51,1,Slice of Time,Fire,"4p Swing Jazz, Freedom Blues"
1281118f6f9e11efa36028c2dd2980ba,,Soukaku,51,6,Slice of Time,Ice,"4p Swing Jazz, Freedom Blues"
1281118f6f9e11efa36028c2dd2980ba,,Lycaon,50,1,Steam Oven,Ice,"4p Shockstar Disco, Swing Jazz"
1281118f6f9e11efa36028c2dd2980ba,,Anby,45,2,Demara Battery Mark II,Electric,"4p Shockstar Disco, Swing Jazz"
128111906f9e11ef931f28c2dd2980ba,,Ellen,60,1,Deep Sea Visitor,Ice,"4p Polar Metal, Woodpecker Electro"
