uid,phase,name,level,cons,weapon,element,artifacts
1000000,,Yixuan,60,0,Qingming Birdcage,Ether,"4p Yunkui Tales, Woodpecker Electro"
1000000,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
1000000,,Trigger,60,0,Spectral Gaze,Electric,"4p Shadow Harmony, Woodpecker Electro"
1000000,,Astra Yao,60,0,Elegant Vanity,Ether,"4p Astral Voice, Swing Jazz"
1000000,,Grace,60,1,Electro-Lip Gloss,Electric,"4p Freedom Blues, Chaos Jazz"
1000000,,Rina,60,1,Weeping Cradle,Electric,"4p Swing Jazz, Astral Voice"
1000000,,Miyabi,60,2,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Woodpecker Electro"
1000000,,Yuzuha,60,0,Metanukimorphosis,Physical,"4p Swing Jazz, Phaethon's Melody"
1000000,,Yanagi,60,0,Weeping Gemini,Electric,"Chaos Jazz, Swing Jazz, Freedom Blues"
1000000,,Lucia,60,0,Kaboom the Cannon,Ether,"4p Moonlight Lullaby, Yunkui Tales"
1000000,,Ju Fufu,60,0,Steam Oven,Fire,"4p King of the Summit, Astral Voice"
1000000,,Vivian,60,0,Flight of Fancy,Ether,"4p Phaethon's Melody, Freedom Blues"
1000000,,Alice,60,0,Practiced Perfection,Physical,"4p Fanged Metal, Phaethon's Melody"
1000001,,Yixuan,60,0,Puzzle Sphere,Ether,"4p Yunkui Tales, Branch & Blade Song"
1000001,,Lucia,60,0,Kaboom the Cannon,Ether,"4p Moonlight Lullaby, Yunkui Tales"
1000001,,Miyabi,60,1,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Astral Voice"
1000001,,Vivian,60,0,Flight of Fancy,Ether,"4p Phaethon's Melody, Chaos Jazz"
1000001,,Seed,60,0,Cordis Germina,Electric,"Dawn's Bloom, Woodpecker Electro, Flex"
1000001,,Evelyn,60,0,Marcato Desire,Fire,"4p Woodpecker Electro, Branch & Blade Song"
1000001,,Yuzuha,60,0,Slice of Time,Physical,"4p Moonlight Lullaby, Phaethon's Melody"
1000001,,Yanagi,60,0,Fusion Compiler,Electric,"4p Chaos Jazz, Freedom Blues"
1000001,,Lighter,60,0,The Restrained,Fire,"4p King of the Summit, Shockstar Disco"
1000001,,Ju Fufu,60,0,Hellfire Gears,Fire,"4p King of the Summit, Astral Voice"
1000001,,Orphie & Magus,60,0,The Brimstone,Fire,"4p Shadow Harmony, Moonlight Lullaby"
1000002,,Lycaon,60,3,The Restrained,Ice,"4p Shockstar Disco, Polar Metal"
1000002,,Manato,60,6,Grill O'Wisp,Fire,"4p Yunkui Tales, Branch & Blade Song"
1000002,,Lighter,60,6,Blazing Laurel,Fire,"4p King of the Summit, Swing Jazz"
1000002,,Hugo,60,0,Myriad Eclipse,Ice,"4p Hormone Punk, Polar Metal"
1000002,,Jane,60,0,Practiced Perfection,Physical,"4p Fanged Metal, Freedom Blues"
