uid,player_level,character,char_level,element,w_engine,w_engine_level,basic_atk,special_atk,dash,ultimate,core_skill,assist,base_hp,base_atk,base_def,base_impact,crit_rate,crit_dmg,anomaly_mastery,anomaly_proficiency,pen_ratio,pen,base_energy_regen,sheer_force,dmg_bonus,percent_hp_sub,percent_atk_sub,percent_def_sub,crit_rate_sub,crit_dmg_sub,pen_sub,anomaly_proficiency_sub,drive_slot_4,drive_slot_5,drive_slot_6,drive_sets
1000000,59,Yixuan,60,Ether,Qingming Birdcage,60,9,12,8,12,7,1,21991,1979,799,93,58.6,107.6,92,144,0.0,27,0,2792,0.0,27,3,19.2,7.2,57.6,27,54,CRIT Rate,Percent HP,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
1000000,59,Jane,60,Physical,Sharpened Stinger,60,12,11,12,11,7,7,11381,2462,820,86,24.2,50.0,192,407,0.0,72,120,0,40.0,15,30,0.0,19.2,0.0,72,81,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
1000000,59,Trigger,60,Electric,Spectral Gaze,60,10,10,3,9,7,7,11397,1967,814,154,87.4,112.4,96,167,0.0,0,120,0,30.0,9,9,0.0,26.4,62.4,0,72,CRIT Rate,Electric DMG Bonus,Impact,"4p Shadow Harmony, Woodpecker Electro"
1000000,59,Astra Yao,60,Ether,Elegant Vanity,60,1,12,1,12,7,10,12403,3819,856,83,21.8,83.6,93,119,0.0,18,280,0,0.0,12,36,9.6,16.8,33.6,18,27,Percent ATK,Percent ATK,Energy Regen,"4p Astral Voice, Swing Jazz"
1000000,59,Grace,60,Electric,Electro-Lip Gloss,60,1,10,1,1,6,1,11365,1884,1162,83,31.4,50.0,196,361,0.0,18,120,0,30.0,15,3,48.0,26.4,0.0,18,18,Anomaly Proficiency,Electric DMG Bonus,Anomaly Mastery,"4p Freedom Blues, Chaos Jazz"
1000000,59,Rina,60,Electric,Weeping Cradle,60,1,12,1,11,7,1,13694,2586,930,83,24.2,59.6,93,110,62.4,63,216,0,0.0,27,18,14.4,19.2,9.6,63,18,Percent ATK,PEN Ratio,Energy Regen,"4p Swing Jazz, Astral Voice"
1000001,60,Yixuan,60,Ether,Puzzle Sphere,60,11,12,7,12,7,7,17524,2343,697,93,55.4,152.4,92,90,0.0,9,0,2454,30.0,39,12,9.6,36.0,38.4,9,0,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
1000001,60,Lucia,60,Ether,Kaboom the Cannon,60,10,12,7,7,7,7,22055,1932,893,83,14.6,78.8,96,140,0.0,18,265,0,0.0,21,6,14.4,9.6,28.8,18,45,Percent HP,Percent HP,Percent HP,"4p Moonlight Lullaby, Yunkui Tales"
1000001,60,Miyabi,60,Ice,Hailstorm Shrine,60,12,12,8,12,7,9,11827,2753,981,86,60.2,162.0,116,265,24.0,27,120,0,0.0,24,9,19.2,31.2,48.0,27,27,CRIT DMG,PEN Ratio,Percent ATK,"4p Branch & Blade Song, Astral Voice"
1000001,60,Vivian,60,Ether,Flight of Fancy,60,12,12,7,12,7,7,10900,2576,1052,86,14.6,64.4,198,375,0.0,18,120,0,30.0,9,30,38.4,9.6,14.4,18,45,Anomaly Proficiency,Ether DMG Bonus,Anomaly Mastery,"4p Phaethon's Melody, Chaos Jazz"
1000001,60,Seed,60,Electric,Cordis Germina,60,12,11,5,11,7,8,10900,2803,884,93,68.2,170.0,94,111,0.0,54,120,0,30.0,9,18,14.4,31.2,43.2,54,18,CRIT DMG,Electric DMG Bonus,Percent ATK,"Dawn's Bloom, Woodpecker Electro, Flex"
1000001,60,Evelyn,60,Fire,Marcato Desire,60,11,12,10,11,7,8,10792,2653,915,93,76.2,166.8,92,108,0.0,18,120,0,30.0,6,21,4.8,28.8,52.8,18,18,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
1000002,60,Lycaon,60,Ice,The Restrained,60,11,11,8,11,7,11,12243,1950,980,194,33.8,131.6,91,99,0.0,45,120,0,40.0,18,9,24.0,28.8,33.6,45,9,CRIT DMG,Ice DMG Bonus,Impact,"4p Shockstar Disco, Polar Metal"
1000002,60,Manato,60,Fire,Grill O'Wisp,60,12,12,12,12,7,12,17830,1819,702,95,53.0,152.4,87,126,0.0,18,0,2328,30.0,15,9,0.0,48.0,38.4,18,36,CRIT DMG,Fire DMG Bonus,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
1000002,60,Lighter,60,Fire,Blazing Laurel,60,12,12,12,12,7,12,11173,2045,944,186,60.2,112.4,91,108,0.0,27,144,0,30.0,6,12,9.6,31.2,62.4,27,18,CRIT Rate,Fire DMG Bonus,Impact,"4p King of the Summit, Swing Jazz"
1000002,60,Hugo,60,Ice,Myriad Eclipse,60,7,12,3,12,7,3,11079,3422,815,95,72.2,170.0,86,99,0.0,54,120,0,10.0,9,18,0.0,28.8,72.0,54,9,CRIT DMG,Percent ATK,Percent ATK,"4p Hormone Punk, Polar Metal"
1000002,60,Jane,60,Physical,Practiced Perfection,60,12,12,10,10,7,8,12062,2950,865,86,5.0,59.6,192,335,0.0,45,120,0,40.0,18,33,0.0,0.0,9.6,45,99,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
1000002,60,Evelyn,60,Fire,Heartstring Nocturne,60,12,12,8,12,7,8,11493,2556,929,93,75.4,181.2,92,99,0.0,54,120,0,30.0,15,3,9.6,24.0,67.2,54,9,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
1000003,57,Yixuan,60,Ether,Qingming Birdcage,60,12,12,7,12,7,7,21319,2084,646,93,55.4,157.2,92,135,0.0,45,0,2756,0.0,27,6,4.8,36.0,43.2,45,45,CRIT DMG,Percent HP,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
1000003,57,Miyabi,60,Ice,Hailstorm Shrine,60,12,11,7,12,7,7,10900,2561,937,86,77.8,176.4,116,256,24.0,9,120,0,0.0,9,6,14.4,40.8,62.4,9,18,CRIT DMG,PEN Ratio,Percent ATK,"4p Branch & Blade Song, Woodpecker Electro"
1000003,57,Evelyn,60,Fire,Heartstring Nocturne,60,12,12,7,12,7,7,12315,2753,899,93,77.8,190.8,92,99,0.0,0,120,0,30.0,27,15,14.4,26.4,76.8,0,9,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
1000003,57,Trigger,60,Electric,Spectral Gaze,60,12,11,8,11,7,11,10795,2257,915,154,97.0,64.4,96,131,0.0,9,120,0,30.0,0,21,14.4,36.0,14.4,9,36,CRIT Rate,Electric DMG Bonus,Impact,"4p King of the Summit, Woodpecker Electro"
1000003,57,Astra Yao,60,Ether,Bashful Demon,60,1,12,1,12,7,3,12325,3504,945,83,14.6,74.0,93,110,0.0,45,280,0,0.0,15,36,14.4,9.6,24.0,45,18,Percent ATK,Percent ATK,Energy Regen,"4p Astral Voice, Swing Jazz"
1000003,57,Lucia,60,Ether,Kaboom the Cannon,60,11,12,3,11,7,7,22757,2003,865,83,21.8,88.4,96,95,0.0,9,265,0,0.0,24,18,9.6,16.8,38.4,9,0,Percent HP,Percent HP,Percent HP,"4p Moonlight Lullaby, Yunkui Tales"
1000004,60,Alice,60,Physical,Weeping Gemini,60,12,12,11,12,7,1,11018,2550,938,86,17.0,64.4,195,345,0.0,18,120,0,40.0,12,24,9.6,12.0,14.4,18,135,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Phaethon's Melody"
1000004,60,Manato,60,Fire,Grill O'Wisp,60,11,11,1,11,7,3,18174,1819,775,95,56.2,112.4,87,117,0.0,45,0,2362,30.0,18,9,33.6,19.2,62.4,45,27,CRIT Rate,Fire DMG Bonus,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
1000004,60,Vivian,60,Ether,Weeping Gemini,60,11,12,7,12,7,11,11024,3137,1024,86,5.0,74.0,198,366,0.0,27,120,0,0.0,15,30,28.8,0.0,24.0,27,126,Anomaly Proficiency,Percent ATK,Anomaly Mastery,"4p Phaethon's Melody, Freedom Blues"
1000004,60,Yanagi,60,Electric,Fusion Compiler,60,11,12,11,12,7,11,12539,2228,929,86,7.4,54.8,192,401,48.0,27,120,0,0.0,27,18,14.4,2.4,4.8,27,135,Anomaly Proficiency,PEN Ratio,Anomaly Mastery,"4p Chaos Jazz, Freedom Blues"
1000004,60,Miyabi,60,Ice,Hailstorm Shrine,60,12,12,11,12,7,11,10104,3145,835,86,75.4,166.8,116,283,0.0,72,120,0,0.0,3,12,0.0,38.4,52.8,72,45,CRIT DMG,Percent ATK,Percent ATK,"4p Branch & Blade Song, Woodpecker Electro"
1000004,60,Yixuan,60,Ether,Qingming Birdcage,60,12,12,12,12,7,12,19422,2027,769,93,56.2,155.6,92,90,0.0,18,0,2550,30.0,33,6,19.2,28.8,57.6,18,0,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
1000005,59,Orphie & Magus,60,Fire,Gilded Blossom,60,7,12,1,12,7,7,10792,2634,856,93,38.6,131.6,92,108,0.0,45,280,0,30.0,6,21,0.0,33.6,33.6,45,18,CRIT DMG,Fire DMG Bonus,Energy Regen,"4p Shadow Harmony, Swing Jazz"
1000005,59,Soldier 0 - Anby,60,Electric,Marcato Desire,60,12,12,9,12,7,1,10104,2627,943,93,77.8,165.2,101,120,0.0,18,120,0,30.0,3,18,19.2,38.4,67.2,18,27,CRIT DMG,Electric DMG Bonus,Percent ATK,"4p Shadow Harmony, Phaethon's Melody"
1000005,59,Jane,60,Physical,Sharpened Stinger,60,11,10,9,10,7,9,11502,2568,994,86,24.2,64.4,192,407,0.0,9,120,0,40.0,18,39,28.8,19.2,14.4,9,81,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
1000005,59,Dialyn,60,Physical,Hellfire Gears,60,7,12,1,12,7,9,12766,2131,928,129,80.2,69.2,94,138,0.0,0,192,0,30.0,24,18,19.2,28.8,19.2,0,45,CRIT Rate,Physical DMG Bonus,Energy Regen,"4p King of the Summit, Woodpecker Electro"
1000005,59,Miyabi,60,Ice,Hailstorm Shrine,60,12,12,8,12,7,1,10216,2912,863,86,81.8,133.2,116,292,8.0,18,120,0,30.0,3,30,9.6,28.8,67.2,18,54,CRIT Rate,Ice DMG Bonus,Percent ATK,"4p Branch & Blade Song, Puffer Electro"
1000005,59,Yixuan,60,Ether,,,12,12,6,12,7,1,15487,1349,688,93,50.6,165.2,92,108,0.0,18,0,1952,30.0,12,12,14.4,31.2,67.2,18,18,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Flex"
1000006,60,Miyabi,60,Ice,Hailstorm Shrine,60,12,12,12,12,7,12,11024,2074,950,86,70.6,166.8,150,310,0.0,18,120,0,30.0,15,6,24.0,33.6,52.8,18,72,CRIT DMG,Ice DMG Bonus,Anomaly Mastery,"4p Branch & Blade Song, Woodpecker Electro"
1000006,60,Yidhari,60,Ice,Kraken's Cradle,60,12,12,5,12,7,5,22547,1935,698,95,51.4,146.0,87,108,0.0,0,0,2834,0.0,21,3,4.8,24.0,48.0,0,18,CRIT DMG,Percent HP,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
1000006,60,Yixuan,60,Ether,Qingming Birdcage,60,12,12,8,12,7,8,18807,1931,712,93,53.0,171.6,92,126,0.0,45,0,2459,30.0,27,0,9.6,33.6,57.6,45,36,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
1000006,60,Lucia,60,Ether,Dreamlit Hearth,60,10,10,7,10,7,7,22482,1976,1051,83,21.8,50.0,96,140,0.0,18,280,0,0.0,30,9,38.4,16.8,0.0,18,45,Percent HP,Percent HP,Energy Regen,"4p Moonlight Lullaby, Yunkui Tales"
1000006,60,Evelyn,60,Fire,Heartstring Nocturne,60,12,10,5,12,7,10,11697,2636,1017,93,82.6,142.8,92,108,0.0,9,120,0,30.0,9,9,24.0,31.2,28.8,9,18,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
